name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
machinoid,mech-,6,5,1,1,2,1,1,2:1,basic,11,1,0,2,0.181818,4
machinoid,mech-,6,5,1,1,3,1,2,3:1,hard,16,1,0,3,0.187500,4
machinoid,mech-,6,5,1,1,3,2,2,3:2,soft,17,1,0,3,0.176471,4
machinoid,mech-,6,5,1,1,4,1,3,4:1,superhard,21,1,0,4,0.190476,4
machinoid,mech-,6,5,1,1,4,3,3,4:3,supersoft,23,1,0,4,0.173913,4
machinoid,mech-,6,5,1,1,5,2,3,5:2,semihard,27,1,0,5,0.185185,4
machinoid,mech-,6,5,1,1,5,3,3,5:3,semisoft,28,1,0,5,0.178571,4
onyx,on-,7,1,6,1,1,1,0,1:1,equalized,7,1,5,6,0.857143,5
onyx,on-,7,1,6,1,2,1,1,2:1,basic,8,1,5,7,0.875000,5
onyx,on-,7,1,6,1,3,1,2,3:1,hard,9,1,5,8,0.888889,5
onyx,on-,7,1,6,1,3,2,2,3:2,soft,15,1,5,13,0.866667,5
onyx,on-,7,1,6,1,4,1,3,4:1,superhard,10,1,5,9,0.900000,5
onyx,on-,7,1,6,1,4,3,3,4:3,supersoft,22,1,5,19,0.863636,5
onyx,on-,7,1,6,1,5,2,3,5:2,semihard,17,1,5,15,0.882353,5
onyx,on-,7,1,6,1,5,3,3,5:3,semisoft,23,1,5,20,0.869565,5
antidiatonic,pel-,7,2,5,1,1,1,0,1:1,equalized,7,1,2,3,0.428571,3
antidiatonic,pel-,7,2,5,1,2,1,1,2:1,basic,9,1,2,4,0.444444,3
antidiatonic,pel-,7,2,5,1,3,1,2,3:1,hard,11,1,2,5,0.454545,3
antidiatonic,pel-,7,2,5,1,3,2,2,3:2,soft,16,1,2,7,0.437500,3
antidiatonic,pel-,7,2,5,1,4,1,3,4:1,superhard,13,1,2,6,0.461538,3
antidiatonic,pel-,7,2,5,1,4,3,3,4:3,supersoft,23,1,2,10,0.434783,3
antidiatonic,pel-,7,2,5,1,5,2,3,5:2,semihard,20,1,2,9,0.450000,3
antidiatonic,pel-,7,2,5,1,5,3,3,5:3,semisoft,25,1,2,11,0.440000,3
mosh,mosh-,7,3,4,1,1,1,0,1:1,equalized,7,1,1,2,0.285714,3
mosh,mosh-,7,3,4,1,2,1,1,2:1,basic,10,1,1,3,0.300000,3
mosh,mosh-,7,3,4,1,3,1,2,3:1,hard,13,1,1,4,0.307692,3
mosh,mosh-,7,3,4,1,3,2,2,3:2,soft,17,1,1,5,0.294118,3
mosh,mosh-,7,3,4,1,4,1,3,4:1,superhard,16,1,1,5,0.312500,3
mosh,mosh-,7,3,4,1,4,3,3,4:3,supersoft,24,1,1,7,0.291667,3
mosh,mosh-,7,3,4,1,5,2,3,5:2,semihard,23,1,1,7,0.304348,3
mosh,mosh-,7,3,4,1,5,3,3,5:3,semisoft,27,1,1,8,0.296296,3
smitonic,smi-,7,4,3,1,1,1,0,1:1,equalized,7,3,2,5,0.714286,3
smitonic,smi-,7,4,3,1,2,1,1,2:1,basic,11,3,2,8,0.727273,3
smitonic,smi-,7,4,3,1,3,1,2,3:1,hard,15,3,2,11,0.733333,3
smitonic,smi-,7,4,3,1,3,2,2,3:2,soft,18,3,2,13,0.722222,3
smitonic,smi-,7,4,3,1,4,1,3,4:1,superhard,19,3,2,14,0.736842,3
smitonic,smi-,7,4,3,1,4,3,3,4:3,supersoft,25,3,2,18,0.720000,3
smitonic,smi-,7,4,3,1,5,2,3,5:2,semihard,26,3,2,19,0.730769,3
smitonic,smi-,7,4,3,1,5,3,3,5:3,semisoft,29,3,2,21,0.724138,3
diatonic,dia-,7,5,2,1,1,1,0,1:1,equalized,7,3,1,4,0.571429,3
diatonic,dia-,7,5,2,1,2,1,1,2:1,basic,12,3,1,7,0.583333,3
diatonic,dia-,7,5,2,1,3,1,2,3:1,hard,17,3,1,10,0.588235,3
diatonic,dia-,7,5,2,1,3,2,2,3:2,soft,19,3,1,11,0.578947,3
diatonic,dia-,7,5,2,1,4,1,3,4:1,superhard,22,3,1,13,0.590909,3
diatonic,dia-,7,5,2,1,4,3,3,4:3,supersoft,26,3,1,15,0.576923,3
diatonic,dia-,7,5,2,1,5,2,3,5:2,semihard,29,3,1,17,0.586207,3
diatonic,dia-,7,5,2,1,5,3,3,5:3,semisoft,31,3,1,18,0.580645,3
archaeotonic,arch-,7,6,1,1,1,1,0,1:1,equalized,7,1,0,1,0.142857,5
archaeotonic,arch-,7,6,1,1,2,1,1,2:1,basic,13,1,0,2,0.153846,5
archaeotonic,arch-,7,6,1,1,3,1,2,3:1,hard,19,1,0,3,0.157895,5
archaeotonic,arch-,7,6,1,1,3,2,2,3:2,soft,20,1,0,3,0.150000,5
archaeotonic,arch-,7,6,1,1,4,1,3,4:1,superhard,25,1,0,4,0.160000,5
archaeotonic,arch-,7,6,1,1,4,3,3,4:3,supersoft,27,1,0,4,0.148148,5
archaeotonic,arch-,7,6,1,1,5,2,3,5:2,semihard,32,1,0,5,0.156250,5
archaeotonic,arch-,7,6,1,1,5,3,3,5:3,semisoft,33,1,0,5,0.151515,5
antipine,apine-,8,1,7,1,1,1,0,1:1,equalized,8,1,6,7,0.875000,6
antipine,apine-,8,1,7,1,2,1,1,2:1,basic,9,1,6,8,0.888889,6
antipine,apine-,8,1,7,1,3,1,2,3:1,hard,10,1,6,9,0.900000,6
antipine,apine-,8,1,7,1,3,2,2,3:2,soft,17,1,6,15,0.882353,6
antipine,apine-,8,1,7,1,4,1,3,4:1,superhard,11,1,6,10,0.909091,6
antipine,apine-,8,1,7,1,4,3,3,4:3,supersoft,25,1,6,22,0.880000,6
antipine,apine-,8,1,7,1,5,2,3,5:2,semihard,19,1,6,17,0.894737,6
antipine,apine-,8,1,7,1,5,3,3,5:3,semisoft,26,1,6,23,0.884615,6
subaric,subar-,8,2,6,2,1,1,0,1:1,equalized,8,1,2,3,0.750000,2
subaric,subar-,8,2,6,2,2,1,1,2:1,basic,10,1,2,4,0.800000,2
subaric,subar-,8,2,6,2,3,1,2,3:1,hard,12,1,2,5,0.833333,2
subaric,subar-,8,2,6,2,3,2,2,3:2,soft,18,1,2,7,0.777778,2
